Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
534758.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Enabled Services (BPM),IT Enabled Services Companies,CIGNITITEC,primary_local,INE675C01017,Cigniti Tech.,Cigniti Technologies Limited
534804.BO,XBOM,BANKING & FINANCIAL SERVICES,Ratings & Analytics,Ratings Companies,CARERATING,primary_local,INE752H01013,CARE Ratings,CARE Ratings Limited
534809.BO,XBOM,Lifestyle & Retail,Jewellery,"Gems, Jewellery And Watches Companies",PCJEWELLER,primary_local,INE785M01021,PC Jeweller,PC Jeweller Limited
534816.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom & Network Infra,Telecom - Infrastructure Companies,INDUSTOWER,primary_local,INE121J01017,Indus Towers,Indus Towers Limited
534976.BO,XBOM,Lifestyle & Retail,Hypermarkets & Dept. Stores,Diversified Retail Companies,VMART,primary_local,INE665J01013,V-Mart Retail,V-Mart Retail Limited
535136.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Aerospace & Defense OEM,Aerospace & Defense Companies,NIBE,primary_local,INE149O01018,NIBE,NIBE Limited
535279.BO,XBOM,METALS & MINING,Aluminium & Base Metals,Aluminium Companies,535279,primary_local,INE583M01012,Bothra Metals,Bothra Metals & Alloys Limited
535322.BO,XBOM,BANKING & FINANCIAL SERVICES,Housing Finance,Housing Finance Company Companies,REPCOHOME,primary_local,INE612J01015,Repco Home Fin,Repco Home Finance Limited
535458.BO,XBOM,INDUSTRIAL COMPONENTRY,Bearings & Precision,Abrasives & Bearings Companies,NIBL,primary_local,INE047O01014,NRB Indl Bearing,NRB Industrial Bearings Limited
535601.BO,XBOM,Lifestyle & Retail,Footwear & Leather,Footwear Companies,SREEL,primary_local,INE099F01013,Sreeleathers,Sreeleathers Limited
535602.BO,XBOM,AUTOMOTIVE COMPONENTS,Chassis & Metal Parts,Auto Components & Equipments Companies,SHARDAMOTR,primary_local,INE597I01028,Sharda Motor Industries Limited,Sharda Motor Industries Limited
